player_name,nation,position,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists,team_name
Virgil van Dijk,nl NED,DF,33,29,29,2610.0,1.0,1.0,0.0,3.0,0.0,1.6,0.5,Liverpool
Mohamed Salah,eg EGY,FW,32,29,29,2568.0,27.0,17.0,9.0,1.0,0.0,22.0,11.2,Liverpool
Ryan Gravenberch,nl NED,MF,22,29,29,2471.0,0.0,2.0,0.0,5.0,0.0,0.9,2.8,Liverpool
Trent Alexander-Arnold,eng ENG,DF,26,28,26,2145.0,2.0,6.0,0.0,4.0,0.0,1.6,6.7,Liverpool
Alexis Mac Allister,ar ARG,MF,26,28,25,2111.0,3.0,3.0,0.0,6.0,0.0,2.3,3.6,Liverpool
Andrew Robertson,sct SCO,DF,31,27,24,2016.0,0.0,0.0,0.0,3.0,1.0,0.8,4.0,Liverpool
Dominik Szoboszlai,hu HUN,MF,24,27,22,1953.0,5.0,3.0,0.0,6.0,0.0,6.7,5.0,Liverpool
Ibrahima Konaté,fr FRA,DF,25,23,22,1894.0,1.0,2.0,0.0,5.0,0.0,1.1,0.9,Liverpool
Luis Díaz,co COL,FW,28,28,22,1850.0,9.0,4.0,0.0,2.0,0.0,7.6,3.4,Liverpool
Alisson,br BRA,GK,32,21,21,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,Liverpool
Cody Gakpo,nl NED,FW,25,26,16,1411.0,8.0,3.0,0.0,4.0,0.0,6.0,3.5,Liverpool
Curtis Jones,eng ENG,"MF,FW",24,24,13,1167.0,3.0,3.0,0.0,3.0,1.0,4.0,0.9,Liverpool
Diogo Jota,pt POR,FW,28,18,10,844.0,5.0,3.0,0.0,1.0,0.0,6.1,1.7,Liverpool
Darwin Núñez,uy URU,FW,25,23,8,970.0,5.0,2.0,0.0,7.0,0.0,5.0,1.1,Liverpool
Caoimhín Kelleher,ie IRL,GK,26,8,8,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Joe Gomez,eng ENG,DF,27,9,6,519.0,0.0,0.0,0.0,1.0,0.0,0.3,0.1,Liverpool
Kostas Tsimikas,gr GRE,DF,28,14,5,517.0,0.0,1.0,0.0,2.0,0.0,0.1,1.0,Liverpool
Conor Bradley,nir NIR,DF,21,12,2,372.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,Liverpool
Jarell Quansah,eng ENG,DF,22,10,2,292.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Liverpool
Wataru Endo,jp JPN,MF,32,14,0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Harvey Elliott,eng ENG,"MF,FW",21,11,0,128.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,Liverpool
Federico Chiesa,it ITA,FW,27,3,0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Liverpool
Vitezslav Jaros,cz CZE,GK,23,1,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Jayden Danns,eng ENG,MF,19,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Harvey Davies,eng ENG,GK,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
James McConnell,eng ENG,MF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Tyler Morton,eng ENG,MF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Amara Nallo,eng ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Trey Nyoni,eng ENG,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
David Raya,es ESP,GK,29,0,29,2610.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Arsenal
William Saliba,fr FRA,DF,23,0,27,2364.0,2.0,0.0,0.0,2.0,1.0,2.1,0.5,Arsenal
Gabriel Magalhães,br BRA,DF,27,0,27,2348.0,3.0,1.0,0.0,4.0,0.0,2.6,0.9,Arsenal
Jurriën Timber,nl NED,DF,23,0,25,2199.0,1.0,2.0,0.0,7.0,0.0,0.7,0.8,Arsenal
Declan Rice,eng ENG,MF,26,0,25,2156.0,2.0,5.0,0.0,5.0,1.0,2.0,5.7,Arsenal
Thomas Partey,gh GHA,"MF,DF",31,0,24,2189.0,3.0,2.0,0.0,4.0,0.0,1.7,1.9,Arsenal
Leandro Trossard,be BEL,FW,30,0,21,1897.0,4.0,5.0,0.0,4.0,1.0,5.1,5.0,Arsenal
Kai Havertz,de GER,"FW,MF",25,0,21,1839.0,9.0,3.0,0.0,4.0,0.0,9.4,2.4,Arsenal
Martin Ødegaard,no NOR,MF,26,0,20,1726.0,2.0,4.0,1.0,3.0,0.0,3.7,3.7,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",23,0,17,1569.0,6.0,3.0,0.0,1.0,0.0,4.5,3.0,Arsenal
Bukayo Saka,eng ENG,"FW,MF",23,0,16,1268.0,5.0,10.0,1.0,3.0,0.0,4.2,5.8,Arsenal
Mikel Merino,es ESP,"MF,FW",28,0,12,1149.0,5.0,1.0,0.0,2.0,0.0,3.7,1.4,Arsenal
Riccardo Calafiori,it ITA,DF,22,0,11,925.0,2.0,1.0,0.0,4.0,0.0,0.9,0.3,Arsenal
Myles Lewis-Skelly,eng ENG,DF,18,0,9,766.0,1.0,0.0,0.0,2.0,2.0,0.0,0.2,Arsenal
Ben White,eng ENG,DF,27,0,7,706.0,0.0,1.0,0.0,2.0,0.0,0.2,0.4,Arsenal
Ethan Nwaneri,eng ENG,"FW,MF",18,0,7,606.0,3.0,1.0,0.0,1.0,0.0,0.8,0.8,Arsenal
Jorginho,it ITA,MF,33,0,7,543.0,0.0,0.0,0.0,4.0,0.0,0.0,0.4,Arsenal
Gabriel Jesus,br BRA,FW,27,0,6,608.0,3.0,0.0,0.0,4.0,0.0,3.0,0.7,Arsenal
Raheem Sterling,eng ENG,"FW,MF",30,0,4,310.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3,Arsenal
Jakub Kiwior,pl POL,DF,25,0,2,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Arsenal
Oleksandr Zinchenko,ua UKR,"DF,MF",28,0,2,299.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Arsenal
Kieran Tierney,sct SCO,"DF,FW",27,0,0,81.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,Arsenal
Takehiro Tomiyasu,jp JPN,DF,26,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Arsenal
Reiss Nelson,eng ENG,FW,25,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Nathan Butler-Oyedeji,eng ENG,FW,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ayden Heaven,eng ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ismeal Kabia,eng ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Maldini Kacurri,al ALB,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Neto,br BRA,GK,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Josh Nichols,eng ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Eddie Nketiah,eng ENG,FW,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Salah Oulad M'Hand,nl NED,MF,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Jack Porter,eng ENG,GK,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Aaron Ramsdale,eng ENG,GK,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Tommy Setford,eng ENG,GK,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Matz Sels,be BEL,GK,33,0,29,2610.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Nottingham-Forest
Ola Aina,ng NGA,DF,28,0,29,2531.0,2.0,1.0,0.0,2.0,0.0,0.6,0.7,Nottingham-Forest
Nikola Milenković,rs SRB,DF,27,0,28,2520.0,4.0,2.0,0.0,4.0,0.0,3.5,0.8,Nottingham-Forest
Murillo,br BRA,DF,22,0,28,2478.0,1.0,0.0,0.0,5.0,0.0,1.2,1.1,Nottingham-Forest
Chris Wood,nz NZL,FW,33,0,28,2344.0,18.0,3.0,3.0,1.0,0.0,11.0,1.9,Nottingham-Forest
Morgan Gibbs-White,eng ENG,MF,25,0,25,2018.0,5.0,7.0,0.0,8.0,1.0,3.9,4.3,Nottingham-Forest
Elliot Anderson,eng ENG,MF,22,0,24,1982.0,1.0,6.0,0.0,6.0,0.0,1.4,3.0,Nottingham-Forest
Anthony Elanga,se SWE,"FW,MF",22,0,23,1845.0,5.0,8.0,0.0,1.0,0.0,3.7,4.3,Nottingham-Forest
Callum Hudson-Odoi,eng ENG,"FW,MF",24,0,22,1894.0,5.0,2.0,0.0,2.0,0.0,2.2,2.4,Nottingham-Forest
Neco Williams,wls WAL,DF,23,0,19,1784.0,1.0,1.0,0.0,4.0,0.0,1.8,1.0,Nottingham-Forest
Nicolás Domínguez,ar ARG,"MF,FW",26,0,16,1395.0,0.0,0.0,0.0,8.0,0.0,1.3,1.0,Nottingham-Forest
Ryan Yates,eng ENG,MF,27,0,15,1546.0,2.0,0.0,0.0,8.0,0.0,2.2,0.9,Nottingham-Forest
Álex Moreno,es ESP,DF,31,0,10,813.0,0.0,1.0,0.0,2.0,0.0,0.2,1.0,Nottingham-Forest
James Ward-Prowse,eng ENG,MF,30,0,5,400.0,0.0,1.0,0.0,2.0,1.0,0.1,1.1,Nottingham-Forest
Jota Silva,pt POR,"FW,MF",25,0,4,725.0,2.0,1.0,0.0,4.0,0.0,1.5,2.8,Nottingham-Forest
Morato,br BRA,DF,23,0,4,629.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Nottingham-Forest
Ibrahim Sangaré,ci CIV,MF,27,0,3,274.0,0.0,1.0,0.0,2.0,0.0,0.0,0.3,Nottingham-Forest
Danilo,br BRA,MF,23,0,3,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Taiwo Awoniyi,ng NGA,FW,27,0,2,278.0,1.0,0.0,0.0,0.0,0.0,2.0,0.1,Nottingham-Forest
Ramón Sosa,py PAR,"FW,MF",25,0,1,241.0,1.0,0.0,0.0,1.0,0.0,0.9,0.4,Nottingham-Forest
Willy Boly,ci CIV,DF,34,0,1,134.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Nottingham-Forest
Harry Toffolo,eng ENG,DF,29,0,0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Eric da Silva Moreira,de GER,"MF,DF",18,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Zach Abbott,eng ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Wayne Hennessey,wls WAL,GK,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Carlos Miguel,br BRA,GK,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Andrew Omobamidele,ie IRL,DF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Moisés Caicedo,ec ECU,MF,23,29,29,2541.0,1.0,2.0,0.0,9.0,0.0,0.6,2.6,Chelsea
Cole Palmer,eng ENG,MF,22,28,28,2441.0,14.0,6.0,3.0,4.0,0.0,15.2,8.6,Chelsea
Levi Colwill,eng ENG,DF,22,27,27,2429.0,1.0,1.0,0.0,7.0,0.0,0.7,1.1,Chelsea
Marc Cucurella,es ESP,DF,26,27,25,2254.0,4.0,1.0,0.0,8.0,1.0,2.2,1.7,Chelsea
Enzo Fernández,ar ARG,MF,24,27,23,2141.0,4.0,5.0,0.0,6.0,0.0,4.4,5.1,Chelsea
Robert Sánchez,es ESP,GK,27,23,23,2070.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Chelsea
Nicolas Jackson,sn SEN,FW,23,23,22,1736.0,9.0,5.0,0.0,5.0,0.0,11.4,4.0,Chelsea
Noni Madueke,eng ENG,FW,23,23,19,1453.0,7.0,3.0,0.0,3.0,0.0,7.6,3.6,Chelsea
Malo Gusto,fr FRA,DF,21,24,17,1551.0,0.0,1.0,0.0,3.0,0.0,1.6,1.0,Chelsea
Pedro Neto,pt POR,FW,25,26,16,1531.0,3.0,4.0,0.0,7.0,0.0,2.0,4.3,Chelsea
Jadon Sancho,eng ENG,FW,24,23,16,1430.0,2.0,4.0,0.0,1.0,0.0,1.6,3.2,Chelsea
Wesley Fofana,fr FRA,DF,24,14,14,1172.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,Chelsea
Tosin Adarabioyo,eng ENG,DF,27,16,11,1091.0,1.0,1.0,0.0,2.0,0.0,0.9,0.2,Chelsea
Christopher Nkunku,fr FRA,FW,27,25,8,872.0,3.0,2.0,0.0,2.0,0.0,4.7,2.0,Chelsea
Reece James,eng ENG,"DF,MF",25,11,8,681.0,1.0,0.0,0.0,1.0,0.0,0.2,0.3,Chelsea
Roméo Lavia,be BEL,MF,21,11,8,541.0,0.0,1.0,0.0,4.0,0.0,0.2,0.7,Chelsea
Filip Jørgensen,dk DEN,GK,22,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Axel Disasi,fr FRA,DF,27,6,4,364.0,1.0,0.0,0.0,1.0,0.0,0.3,0.1,Chelsea
Trevoh Chalobah,eng ENG,DF,25,6,4,296.0,0.0,1.0,0.0,0.0,0.0,0.2,1.1,Chelsea
João Félix,pt POR,"FW,MF",25,12,3,369.0,1.0,1.0,0.0,2.0,0.0,2.2,1.0,Chelsea
Benoît Badiashile,fr FRA,DF,23,5,3,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Joshua Acheampong,eng ENG,DF,18,4,2,170.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Chelsea
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26,9,1,199.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,Chelsea
Renato Veiga,pt POR,"DF,MF",21,7,1,181.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Chelsea
Mykhailo Mudryk,ua UKR,FW,24,7,1,151.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,Chelsea
Tyrique George,eng ENG,FW,19,5,0,89.0,0.0,1.0,0.0,1.0,0.0,0.1,0.7,Chelsea
Marc Guiu,es ESP,FW,19,3,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Mathis Amougou,fr FRA,MF,19,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Shumaira Mheuka,eng ENG,MF,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Chelsea
Aaron Anselmino,ar ARG,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Genesis Antwi,se SWE,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Marcus Bettinelli,eng ENG,GK,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Cesare Casadei,it ITA,MF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Samuel Rak-Sakyi,eng ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Ishé Samuels-Smith,eng ENG,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Erling Haaland,no NOR,FW,24,0,28,2480.0,21.0,3.0,2.0,2.0,0.0,20.8,2.8,Manchester-City
Joško Gvardiol,hr CRO,DF,23,0,27,2468.0,5.0,0.0,0.0,1.0,0.0,4.2,1.9,Manchester-City
Bernardo Silva,pt POR,"MF,FW",30,0,22,2041.0,2.0,4.0,0.0,5.0,0.0,3.0,4.2,Manchester-City
Manuel Akanji,ch SUI,DF,29,0,20,1707.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4,Manchester-City
Ederson,br BRA,GK,31,0,19,1710.0,0.0,3.0,0.0,3.0,0.0,0.0,0.8,Manchester-City
Rico Lewis,eng ENG,"DF,MF",20,0,19,1702.0,1.0,2.0,0.0,5.0,1.0,1.4,0.3,Manchester-City
Mateo Kovačić,hr CRO,MF,30,0,19,1681.0,4.0,1.0,0.0,5.0,0.0,1.4,3.4,Manchester-City
Sávio,br BRA,"FW,MF",20,0,19,1564.0,1.0,7.0,0.0,3.0,0.0,4.6,5.7,Manchester-City
Phil Foden,eng ENG,"MF,FW",24,0,18,1629.0,7.0,2.0,0.0,2.0,0.0,4.9,4.7,Manchester-City
İlkay Gündoğan,de GER,MF,34,0,17,1535.0,0.0,3.0,0.0,1.0,0.0,1.7,2.3,Manchester-City
Rúben Dias,pt POR,DF,27,0,16,1461.0,0.0,0.0,0.0,3.0,0.0,1.3,0.3,Manchester-City
Jeremy Doku,be BEL,"FW,MF",22,0,13,1163.0,3.0,4.0,0.0,1.0,0.0,1.0,3.2,Manchester-City
Kevin De Bruyne,be BEL,MF,33,0,12,1103.0,2.0,6.0,0.0,2.0,0.0,2.6,6.1,Manchester-City
Matheus Nunes,pt POR,"DF,MF",26,0,12,1044.0,0.0,4.0,0.0,3.0,0.0,0.5,3.3,Manchester-City
Stefan Ortega,de GER,GK,32,0,10,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester-City
Kyle Walker,eng ENG,DF,34,0,9,970.0,0.0,0.0,0.0,3.0,0.0,0.1,0.4,Manchester-City
Nathan Aké,nl NED,DF,30,0,8,678.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Manchester-City
Jack Grealish,eng ENG,"FW,MF",29,0,6,609.0,0.0,1.0,0.0,3.0,0.0,0.8,1.7,Manchester-City
John Stones,eng ENG,"DF,MF",30,0,6,548.0,2.0,0.0,0.0,1.0,0.0,0.4,0.1,Manchester-City
Abdukodir Khusanov,uz UZB,DF,21,0,6,503.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Manchester-City
Omar Marmoush,eg EGY,"MF,FW",26,0,6,475.0,4.0,0.0,0.0,0.0,0.0,1.1,1.0,Manchester-City
Nicolás González,es ESP,MF,23,0,5,390.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,Manchester-City
Jahmai Simpson-Pusey,eng ENG,DF,19,0,1,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Manchester-City
Rodri,es ESP,MF,28,0,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
James Mcatee,eng ENG,"MF,FW",22,0,0,130.0,2.0,0.0,0.0,0.0,0.0,1.3,0.0,Manchester-City
Divin Mubama,eng ENG,FW,20,0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Nico O’Reilly,eng ENG,"MF,DF",20,0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Max Alleyne,eng ENG,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Thorsten Brits,eng ENG,GK,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Scott Carson,eng ENG,GK,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Issa Kaboré,bf BFA,"DF,MF",23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Vitor Reis,br BRA,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Josh Wilson-Esbrand,eng ENG,DF,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Jacob Wright,eng ENG,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Bruno Guimarães,br BRA,MF,27,28,28,2423.0,3.0,6.0,0.0,4.0,0.0,2.8,5.1,Newcastle-United
Dan Burn,eng ENG,DF,32,27,27,2430.0,0.0,0.0,0.0,8.0,0.0,1.1,0.5,Newcastle-United
Anthony Gordon,eng ENG,FW,24,26,25,2108.0,6.0,5.0,1.0,2.0,0.0,7.8,4.9,Newcastle-United
Alexander Isak,se SWE,FW,25,25,25,2052.0,19.0,5.0,2.0,1.0,0.0,15.6,3.8,Newcastle-United
Lewis Hall,eng ENG,DF,20,27,24,2189.0,0.0,4.0,0.0,3.0,0.0,0.4,4.3,Newcastle-United
Joelinton,br BRA,"MF,FW",28,24,24,2004.0,4.0,1.0,0.0,9.0,0.0,3.7,1.6,Newcastle-United
Fabian Schär,ch SUI,DF,33,24,23,2052.0,2.0,0.0,0.0,5.0,1.0,1.6,0.3,Newcastle-United
Valentino Livramento,eng ENG,DF,22,27,22,1940.0,0.0,0.0,0.0,1.0,0.0,0.1,1.1,Newcastle-United
Jacob Murphy,eng ENG,FW,30,25,21,1680.0,5.0,8.0,0.0,3.0,0.0,3.8,6.3,Newcastle-United
Sandro Tonali,it ITA,MF,24,26,18,1730.0,1.0,1.0,0.0,5.0,0.0,3.1,0.6,Newcastle-United
Nick Pope,eng ENG,GK,32,18,18,1620.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Newcastle-United
Martin Dúbravka,sk SVK,GK,36,10,10,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
